chuadhabhair chuaigh sibh
chuadhabhair-se chuaigh sibhse
chuadhadh chuathas
chuadhais chuaigh tú
chuadhais-se chuaigh tusa
chuadhar chuadar
chuadhas-sa chuaigh mise
chuadhdar chuadar
chuadhmuid chuamar
chuadhthas chuathas
chuaid chuaigh
chuairteóchadh chuardódh
chualabh-air chuala sibh
chualabhair chuala sibh
chualas-sa chuala mise
chuamair-ne chuamarna
chuamuid chuamar
chughainn-na chugainne
chughtha chucu
chuiadh chuaigh
chuim choim
chuimhnígheas chuimhnigh mé
chuinnigh choinnigh
chuireabhair chuir sibh
chuireabhair-se chuir sibhse
chuireadar-san chuireadarsan
chuireamair-ne chuireamar
chuireamar-ne chuireamarna
chuireas-sa chuir mise
chuireassa chuir mise
chuirfea chuirfeá
chuirfeach chuirfeadh
chuirfeá-sa chuirfeása
chuirfhinn chuirfinn
chuirid chuireann siad
chuiris-se chuir tusa
chuirp-se choirpse
chuirptheach choirpeach
chuirpthigh choirpigh
chuirsi chuir sí
chuite chúnna
chulladh chodladh
chuman chumann
chumhlódair chomhluadair
chundae contae
chuíbhsach chuibheasach
chuímhne chuimhne
chuímhneamh chuimhneamh
chuímhnigh chuimhnigh
cháich cách
cháisg cháisc
chárbat charbad
chéadhna chéanna
chéill chiall
chéir-shnuighte chéirshnoite
chéirshnuighte chéirshnoite
chíd feiceann
chíd feiceann siad
chídheadh d'fheicfeadh
chídhfadh d'fheicfeadh
chídhfeadh d'fheicfeadh
chídhfidís d'fheicfidís
chídhfinn d'fheicfinn
chídhfá d'fheicfeá
chídhim feicim
chídhinn d'fheicfinn
chídhtear feictear
chídhtear fheictear
chídhtí d'fheictí
chífad feicfidh mé
chífam feicfimid
chífhir feicfidh tú
chífir-se feicfidh tusa
chím-se feicimse
chímíd feicimid
chínte chinnte
chíorr-baidhthe chiorraithe
chír-cosanta chíorchosanta
chóimlíonadh chomhlíonadh
chóinnéochadh choinneodh
chóir-shlíobhtha chóirshlíobtha
chóireóghadh chóireodh
chóm chomh
chómhairle-se chomhairlese
chómhdáil chomhdháil
chómhnra cónra
chómhnuig chónaigh
chómhradh chomhrá
chô chomh
chúbaláil chúbláil
chúbhartha chumhra
chúici chuici
chúighthi chuici
chúigmhear chúigear
chúmadh chumadh
chúmfadh chumfadh
chúmha chumha
chúmhachtach chumhachtach
chúmhdach chumhdach
chúmhrtha chumhra
chúmtha chumtha
chún chun
ciabhraonach ceobhránach
ciaca cé acu
ciacu cé acu
ciallaimíd ciallaímid
Ciaraidheach Ciarraíoch
ciarseach céirseach
cigiliseach dingliseach
cimeádaidh coimeádaigí
cimeádfidís choimeádfaidís
cimileáil cuimleáil
ciméadfad coimeádfaidh mé
cineadhcha ciníocha
Cingcíghse Cincíse
cinn-aighthe ceannaithe
cinntach ciontach
cioca cé acu
ciorbhadh ciorrú
ciorcailleach ciorclach
ciorcalta ciorclach
ciorthamacha cithréimeacha
ciotianta coitianta
cirteach ceirteach
cithréibeach círéibeach
ciuimhseach ciumhsach
ciuin-rosgach ciúinroscach
ciuinchritheach ciúinchreathach
ciúil ceoil
ciúntach ciontach
cladhaireach cladhartha
Claedeach Clóideach
clagarach clagach
claidhmheach claimhteoir
claidhmhthe claimhte
claidhte claimhte
claidhthe claíocha
claigtheach cloigtheach
claoi cloí
claoidhthe cloíte
claonshúileach claonsúileach
clathach claíocha
cleachdadh cleachtadh
cliain-isteach cliamhain
clipithe clipthe
clobhta clabhta
clobhuaileadh clóbhuaileadh
clobhuailte clóbhuailte
clocach clochach
cloch-bhuadhacha clochbhuacha
clodhbhuailte clóbhuailte
cloigionn cloigeann
cloisfam cloisfimid
cloisfí chloisfí
cloismíd cloisimid
cloistí chloistí
cluichthe cluichí
cluinfí chloisfí
cluinim-se cloisimse
cluinmid cloisimid
cluite cloíte
cluite cluichte
clumhach clúmhach
clutha cluiche
cláiringheach cláiríneach
clódhadóireachta clódóireachta
cnacaithe cnagtha
cnaoite cnaíte
cneadha cneácha
cneatha cneácha
cnocaibh cnoic
cnopánach cnapánach
cnotha cnónna
cnuas-thorthacha cnuastorthacha
cnuas-torthacha cnuastorthacha
cnutáil cniotáil
cnáibhseáil cnáimhseáil
cnáimh-ghearradh cnámhghearradh
cnáimheach cnámhach
cnámh-altacha cnámhaltacha
cnéadhach cneách
cnóisciúnta cnuaisciúnach
cnótha cnónna
cobharthach cabhrach
cobhsach cobhsaí
codaranta cadránta
codhlata codlata
codlóchadh chodlódh
coga cogadh
coibhchéimeach comhchéimneach
coicthigheas coicís
coidhche choíche
coidreach caidreamhach
coigcrícheach coigríoch
coigil-se coigilse
coiglighim-se coiglímse
coigthigheas coicís
coilg-neimhneach colgnimhneach
coiligneach coilgneach
coillthe coillte
coimeadas-sa choimeád mise
coimeadta coimeádta
coimeádaidh-se coimeádaigíse
coimeádthach coimeádach
coimeádthar coimeádtar
coimh-fhleasgach comhfhleascach
coimh-thíoracha comhthíreacha
coimhcheangladh comhcheangal
coimhchreathadh comhchreathadh
coimhdheach coimhthíocha
coimhead coimhéad
coimheádach coimhéadach
coimhithgheach coimhthíoch
coimhreach coimhdeach
coimthigheach coimhthíoch
coingeobhad-sa coinneoidh mise
coinghibh coinnigh
coinghioll coinníoll
coinghíoll coinníoll
coinneóchaidhe choinneofaí
coinnimhthe coinmhidh
coipthighthe coipthe
coiripthe coirbthe
coitchian coiteann
coitchionnta coitianta
coitchionta coitianta
coitchíonnta coitianta
coitíonta coitianta
colan colainn
colg-fhaobhracha colgfhaobhracha
colláisde coláiste
colláiste coláiste
comachtacha cumhachtacha
comh-freagarthacha comhfhreagracha
comh-mhaoidhte cómhaíte
comh-mheáidhte cóimheáite
comhaightheacha coimhthíocha
comhdlúighte comhdhlúite
comhfheileamhnach comhfheiliúnach
comhguisí cógais
comhmhaoidhte cómhaíte
comhmhaoidhthe cómhaíte
comhmhaoite cómhaíte
comhngarach cóngarach
comhradh comhrá
comhtha comha
comhthreormhar comhthreomhar
comhthromach cothrom
comhthromúil cothromúil
comhuillinneach comhuilleach
commóradh comóradh
comportach compordach
compórtach compordach
comráideach comrádúil
comáinean tiomáineann
Conachtachaibh Connachtaigh
conacthas chonacthas
Conchobhar Conchúr
conghbhaidh coinnígí
congnta cúnta
congáil coinneáil
connac-sa chonaic mise
connacathas chonacthas
connachthas chonacthas
connacthas chonacthas
connaic chonaic
conndaethe contaetha
consablaí constáblaí
contabhartach contúirteach
cor-cainte cor cainte
cor-chnocacha corrchnocacha
corpach corpanta
corpaibh coirp
corr-ghortughadh corrghortú
corr-sgeach corrsceach
corr-uaireannta corruair
corrathónach corrthónach
corrtha cortha
corruillinneach corruilleach
corruíthe corraithe
corráistiúil coráistiúil
corróchadh chorródh
corshuantach corrthónach
corughadh corraí
cos-nochtaighthe cosnochta
cos-nochtaithe cosnochta
cos-nochttha cosnochta
cos-nochtthe cosnochta
cosanáirde cosa in airde
cosgaracha coscracha
cosnochtaighthe cosnochta
cosnochttha cosnochta
cosnochtuighthe cosnochta
cosnóchadh chosnódh
costach costasach
cothramúil cothromúil
cothramúla cothromúla
cothuigidh cothaígí
coímhdeachta coimhdeachta
coímhitheach coimhthíoch
coímhsgar coimheascar
coínsiasach coinsiasach
coíthach coimhthíoch
craicionn craiceann
craigeach creagach
craitheach crothach
craithidh-se croithigíse
crampáltha crampáilte
crannta crainn
crannta cranda
craobhsgaoile craobhscaoileadh
crasach crosach
creachfí chreachfaí
cread céard
credim creidim
creidean creideann
creidfeá chreidfeá
creidfidís chreidfidís
creidfinn chreidfinn
creidfí chreidfí
creididh creidigí
creidimídne creidimidne
creidithe creidte
creud céard
creád céard
criathruiste criathraithe
crithniú crith
Criósdaidhe Críostaí
crocadh crochadh
crochaid crochann siad
crochfaí chrochfaí
crochfí chrochfaí
crodhanta cruthanta
crodhanta cróga
croichte crochta
croidhe-bhruighte croíbhrúite
croidhe-bhrúighthe croíbhrúite
croidhe-luaimneach croíluaineach
croidhiúil croíúil
croinnte crainn
croithe croíthe
croithe crúite
cromaid cromann siad
cromtha-shlinneánach cromshlinneánach
cros-fhiachlach crosfhiaclach
crostáltha crosta
crothughadh cruthú
croídhe-bhrúghadh croíbhrú
croídhe-bhrúighte croíbhrúite
croídhthe croíthe
cruadh-armach crua-armach
cruadh-chomhlannach cruachomhlannach
cruadh-chuibhrighthe cruachuibhrithe
cruadh-chuibhriththe cruachuibhrithe
cruadh-huisleannacha cruachuisleacha
cruadhadh cruadh
cruaidh-bheirbhighthe cruabheirithe
cruaidhthe cruaite
cruinn-bhréithreach cruinnbhriathrach
cruinnaighthe cruinn
cruinnig-se cruinnighse
cruinniugadh cruinniú
cruinnú cruinniú
crumadh cromadh
crutach cruiteach
crábhthach cráifeach
crábhthacha cráifeacha
cráidhthe cráite
cráidthe cráite
cráiste coráiste
cráitte cráite
críochnadh críochnú
críochruighthe críochnaithe
críocnuighthe críochnaithe
Críosdaidhthib Críostaithe
Críosdaidhthibh Críostaithe
Críostaidhthibh Críostaithe
cró-línteach crólinnteach
cróda cróga
cródhach cróga
cródhanta cruthanta
cróghlidheach cróilí
crón-shúileach crónsúileach
crónánuidhthe crónánaithe
cuadar chuadar
cuaidh chuaigh
cualadh chuala
cualathas chualathas
cuardaig-se cuardaighse
cuardaighmís cuardaímis
cuarduighidh cuardaígí
cuarduighmís cuardaímis
cuardógham cuardóimid
cuarthóchadh cuardóidh mé
cuas-shúileach cuas-súileach
cubhartha cumhra
cugham-sa chugamsa
cughtha chucu
cuibheaseach cuibheasach
cuibhsach cuibheasach
cuimh-nighidh-se cuimhnígíse
cuimhingh cuimhnigh
cuimhneóchadh chuimhneodh
cuimhneóghfadsa cuimhneoidh mise
cuimhnig cuimhnigh
cuimhnighdís cuimhnídís
cuimhnighmís cuimhnímis
cuimhnightí chuimhnítí
cuimhreach cuibhreach
cuinnigheann coinníonn
cuiníollach coinníollach
cuir-fad-sa cuirfidh mise
cuir-se cuirse
cuireach cuireadh
cuiread cuireadh
cuireadar chuireadar
cuiream cuirimis
cuireamaid cuirimid
cuirfad cuirfidh mé
cuirfad-sa cuirfidh mise
cuirfadh chuirfeadh
cuirfamna cuirfimidne
cuirfeam-na cuirfimidne
cuirfeamna cuirfimidne
cuirfhe cuirfidh
cuirfheamuid cuirfimid
cuirfidhear cuirfear
cuirfidís chuirfidís
cuirid cuireann siad
cuiridh-se cuirigíse
cuirim-sa cuirimse
cuirimid-ne cuirimidne
cuirimíd-na cuirimidne
cuirimíd-ne cuirimidne
cuiripeach coirpeach
cuirmid cuirimid
cuirpeach coirpeach
cuirptheach coirpeach
cuirthar cuirtear
cuirídh cuirigí
cuitcheannta coitianta
culladh codladh
cumachtach cumhachtach
cumadhtha cumthaí
cumaoineach comaoineach
cumasgtha cumaiscthe
cumhang-intinneach cúngintinneach
cumhang-iosgadach cúngioscadach
cumhangughadh cúngú
cumharach cumhra
cumusach cumasach
cunathaobh cad ina thaobh
cungantach cúntach
cunghantach cúntach
cuntrailte contráilte
curatta curata
curfa curfá
curfaí chuirfí
curfí chuirfí
curraighthe corraigh
cuthalach cúthail
cuthalacht cúthaileacht
cuíbhsach cuibheasach
cuíllte coillte
cuímhne cuimhne
cuímhneamh cuimhneamh
cuímhnigh cuimhnigh
cuímhniú cuimhneamh
cuímhniúghadh cuimhneamh
cuímhnte cuimhnithe
cuímhníghid cuimhníonn siad
cuímhrighthe cuibhrithe
cáidhréiseach cáiréiseach
cáinfinn cháinfinn
cáirte cairte
cárbat carbad
céad-ghoineach céadghoineach
céadhna céanna
céadthach céadach
céardcha ceárta
céarseach céirseach
céathfrach ceáfrach
céill ciall
céir-bheach céir bheach
cérach céarach
cím feicim
cím-se feicimse
Cíngcíse Cincíse
cínnte cinnte
cíoram cíoraimis
círchéimeach cithréimeach
cíte feicthe
cítear feictear
có chomh
cófhaid comhfhad
cógarach cóngarach
cóibhchéimeach comhchéimneach
cóibhdeach coimhdeacha
cóimh-fhleasgach comhfhleascach
cóimhghnéitheach comhghnéitheach
cóimhriar comhréir
cóimhriartha comhréir
cóimhriartha comhréireacha
cóimhrighthe comhairthe
cóir-sgríobacha cóirscríobacha
cóiriste cóirithe
cómartha comhartha
cómh-dhíreach comhdhíreach
cómh-sheirbhíseach comhsheirbhíseach
cómh-shnáthach comhshnámhach
cómhairigheadh comhaireadh
cómhangarach cóngarach
cómharsanna comharsana
cómhbhrónach comhbhrónach
cómhdhíreach comhdhíreach
cómhlíonfaí chomhlíonfaí
cómhmhaoidhte cómhaíte
cómhngar cóngar
cómhngarach cóngarach
cómhradh comhrá
cómhrighthe comhairthe
cómhthéagartha comhthéagartha
córdú comhardú
córthach córach
côfhaid comhfhad
côlíneach comhlíneach
cúaramach cúramach
cúbaláil cúbláil
cúbhartha cumhra
cúbálta cúbtha
cúig-deug cúig déag
cúigdeug cúig déag
cúigmhadh cúigiú
cúigmhear cúigear
cúinsithe cúinsí
cúiseana cúiseanna
cúl-shraidheach cúlráideach
cúlshráideach cúlráideach
cúmadh cumadh
cúmha cumha
cúmhach cumhach
cúmhachtach cumhachtach
cúmhdach cumhdach
cúmhlódar comhluadar
cúmhngarach cóngarach
cúmhra cumhra
cúmhrtha cumhra
cúmpórdach compordach
cúmtha cumtha
cúnlach caonach
cúnlaigh conlaigh
cúnlaithe conlaithe
cúnlaithe cúngaithe
cúntabharthach contúirteach
cúntasaíbh cuntais
cúntrálta contráilte
cúthach cuthach
d'oidh'e d'oíche
d-imthig d'imigh
dachadh daichead
daimhseochaidh damhsóidh
daimhsiughadh damhsa
dainginighthe daingnithe
dainginiú daingniú
daingionn daingean
dainsearach dainséarach
dairiú dorú
daitte daite
dall-inntreach dallintinneach
dalltha dallta
daltha dalta
damhsughadh damhsa
danaraibh danair
dannartha danartha
daoibhthe díobh
daoibhthe dóibh
daoieacúil daonnachtúil
daonacht daonnacht
daonachtúil daonnachtúil
daonachtúla daonnachtúla
daonaidhe daonnaí
daosgar-shluagh daoscarshlua
daoíbh-se daoibhse
dardaol deargadaol
daróach dá sroicheadh
dasachtach dásachtach
dath-áluinn dathálainn
de's de
deabhfarach dearfach
deabhruighth-each dealraitheach
deacaracht deacracht
deacha ndeachaigh
deagh-aigeanta dea-aigeanta
deagh-bheartach dea-bheartach
deagh-bholaidhtheach dea-bholaitheach
deagh-bholaightheach dea-bholaitheach
deagh-bhriathrach dea-bhriathrach
deagh-chleachtadh dea-chleachtadh
deagh-chléireach dea-chléireach
deagh-chroidhtheach dea-chroíoch
deagh-chroídheach dea-chroíoch
deagh-chumhduighthe dea-chumhdaithe
deagh-chumhtha dea-chumtha
deagh-cháirdeach dea-chairdiúil
deagh-chómharsanach dea-chomharsanach
deagh-chómharsanacht dea-chomharsanacht
deagh-chúmtha dea-chumtha
deagh-dhaithte dea-dhaite
deagh-dhealbhach dea-dhealbhach
deagh-dhánta dea-dhánta
deagh-Eadáileach dea-Iodálach
deagh-ghaisgidheach dea-ghaiscíoch
deagh-ghleásta dea-ghléasta
deagh-ghníomhartha dea-ghníomhartha
deagh-ghnóthach dea-ghnóthach
deagh-ghnúiseach dea-ghnúiseach
deagh-ghrádhach dea-ghrách
deagh-grádhach dea-ghrách
deagh-iomcharach dea-iomprach
deagh-iomchurach dea-iomprach
deagh-iomchurtha dea-iompartha
deagh-mharcach dea-mharcach
deagh-mhiotalach dea-mhiotalach
deagh-mhéinneach dea-mhéineach
deagh-múinte dea-mhúinte
deagh-nós dea-nós
deagh-nósach dea-nósach
deagh-oilte dea-oilte
deagh-shláinteach dea-shláintiúil
deagh-shnoidhte dea-shnoite
deagh-shnódhach dea-shnúúil
deagh-shásta dea-shásta
deagh-thabhartha dea-thabhartha
deagh-thaidhbhseach dea-thaibhseach
deagh-thapaidh dea-thapa
deagh-Éireannach dea-Éireannach
deaghaithreach dealraitheach
deagharmtha dea-armáilte
deaghbhallach dea-bhallach
deaghchliútach dea-chlúiteach
deaghchomhursach dea-chomharsanach
deaghchúmtha dea-chumtha
deaghcúmtha dea-chumtha
deaghdhaithte dea-dhaite
deaghmhéinneach dea-mhéineach
deaghnósach dea-nósach
deaghriaruithe dea-riartha
deaghthréithe dea-thréithe
deallramhtach dealraitheach
deallritheach dealraitheach
deamh-rathach dealraitheach
deamhnaibh deamhain
deamhrach dealraitheach
deamhraitheach dealraitheach
deanadh déanamh
deanaigidh déanaigí
deanfadh dhéanfadh
deanfam déanfaimid
dearach deorach
dearbhaid dearbhaíonn siad
dearbhaim-se dearbhaímse
dearbhochad dearbhóidh mé
dearbhrathair deartháir
dearbhratháir deartháir
dearbhráitheach deartháireacha
dearbhráithreach deartháireacha
dearbhráithreacha deartháireacha
dearbhsheathrach deirféar
dearbhuighim-se dearbhaímse
dearbráthar deartháir
dearbtha dearfa
dearcamis dearcaimis
dearcamuis dearcaimis
dearcthar dearctar
dearfá déarfá
dearg-bhitheamhnach deargbhithiúnach
dearg-daol deargadaol
dearg-lobhtha dearglofa
dearg-mhéirleach deargmheirleach
dearg-nochtaithe deargnocht
deargóchad deargfaidh mé
dearmhadta dearmadta
dearmhadtha dearmadta
dearnadar dhearnadar
dearnamar dhearnamar
deasgnátha deasghnátha
deichmheadh deichiú
deichniúbhur deichniúr
deidheanach déanach
deidheannach déanach
deidhilte deighilte
deifireach deifreach
deifrígheacht difríocht
deigh-aigeantach dea-aigeanta
deigh-eolach dea-eolach
deigh-fheisceanta dea-fheiceála
deigh-ghníomhartha dea-ghníomhartha
deigh-mheabhrach dea-mheabhrach
deigh-mhéinneach dea-mhéineach
deigh-sgéimheach dea-sciamhach
deigh-thréithe dea-thréithe
deigheanach déanach
deighionach déanach
deighlighidh deighligí
deighmhéinneach dea-mhéineach
deiligneach deilgneach
deimhin-bhreitheach deimhinbhreitheach
deimhinightheach deimhneach
deimhinitheach deimhneach
deimhnighthar deimhnítear
deimhníghtheach deimhneach
dein-se déansa
dein-si déansa
deinfar déanfar
deinfeadh dhéanfadh
deinfimíd déanfaimid
deinfá dhéanfá
deinfí dhéanfaí
deinidh-se déanaigíse
deinim-se déanaimse
deinimíd-ne déanaimidne
deinimíst déanaimis
deintí dhéantaí
deirbhshéathar deirfiúr
Deire-an-Domhain Deireadh-an-Domhain
deirean deir
deireonnach deireanach
deirfeadh déarfadh
deirfear déarfar
deirfeá déarfá
deirfidh déarfaidh
deirfimís déarfaimis
deirfinn déarfainn
deirimídna deirimidne
deirimídne deirimidne
deirinn-se deirinnse
deirinneach deireanach
deirionach deireanach
deirionnach deireanach
deirir-se deir tusa
deirthar deirtear
deirthidhe deir sibh
deirthí deirtí
deirthí-se deir sibhse
deirthídhe deir sibh
deisceirte deiscirt
deithbhireach deifreach
deithe déithe
deitheansach dithneasach
deithfreach deifreach
deithineasach dithneasach
deoidh deo
deunaidh déanaigí
deunaigí-se déanaigíse
deunidh déanaigí
deábhóideach deabhóideach
deágh-chroidhtheach dea-chroíoch
deágh-chumhtha dea-chumtha
deágh-mhaisighthe dea-mhaisithe
deághmhaisighthe dea-mhaisithe
deánfásach déanfasach
deárach deorach
deársgnach dearscnaitheach
deárthach dealraitheach
deártharach deartháireacha
deíghionach déanach
deóchailleach leochaileach
dfheicsint fheiceáil
dfhéachaint fhéachaint
dfiarfuigheas d'fhiafraigh mé
dhainginiughadh dhaingniú
dhainginiú dhaingniú
dhainginú dhaingniú
dhaltha dalta
dhaoracht dhaoire
dheabhrochadh dhealródh
dheabróchadh dhealródh
dheagh-chóruighthe dea-chóirithe
dheagh-thréithe dhea-thréithe
dheanfaimuid dhéanfaimid
dheanfainn dhéanfainn
dheanfainn-se dhéanfainnse
dhearbhrathairín deartháirín
dhearbhratháir dheartháir
dhearbhráithreacha dheartháireacha
dhearbhráthairín dheartháirín
dhearmadar dhearmadadar
dheas-láimh dheaslámh
dheigh-ghníomhartha dhea-ghníomhartha
dheinadar rinneadar
dheineabhair rinne sibh
dheineadar-san rinneadarsan
dheineamair-ne rinneamarna
dheinfá dhéanfá
dheinim-se dhéanaimse
dheinimís-na dhéanaimisne
dheinis-se rinne tusa
dheinis-se rinne tú
dheárnadar dhearnadar
dheóigh dheoidh
dhiabhlaibh dhiabhail
dhiadhnaighe dhéanaí
dhiaig dhiaidh
Dhiarmuda Dhiarmada
dhinneár dhinnéar
dhinéar dhinnéar
dhiotháil dhíobháil
dhithcheannadh dhícheannadh
dhithchioll dhícheall
dhithmholadh dhímholadh
dhoghadh dhó
dhoit duit
Dhomhnaill Dhónaill
dhrid dhruid
dhritháracha dheartháireacha
dhroid dhruid
dhruidmear dhruideamar
dhruím dhroim
dhuagh dua
dhuine-uasail dhuine uasail
dhuinuasail dhuine uasail
dhuisigh dhúisigh
dhuith duit
dhá'réag dháréag
dhéanfainn-se dhéanfainnse
dhéanfidís dhéanfaidís
dhéanfidís dhéanfaidís
dhéanfimíd dhéanfaimid
dhéanfinn-se dhéanfainnse
dhéanfá-sa dhéanfása
dhéannach dhéanach
dhéigheanach dhéanaí
dhéigheannach dhéanach
dhéineabhair rinne sibh
dhéinidís dhéanaidís
dhéithibh dhéithe
dhíolas-sa dhíol mise
dhíthchioll dhícheall
dhítheal dhícheall
dhóghadar dhódar
dhóghfadh dhófadh
dhóigheadar dhódar
dhóighfeadh dhófadh
dhúinn-na dúinne
dhúinn-ne dúinne
dhúnaráil dhún ar aill
diabhalach diabhalta
diabhalamhnach diúlach
diabhulta diabhalta
diacrach diachrach
diadhaireach diamhair
diadhnach déanach
dialta diabhalta
diamhar diamhair
diamhara diamhra
diamhartha diamhair
diamhasluightheach diamhaslach
dian-tsaothrach diansaothrach
dibirte díbeartha
dibirteach díbeartach
dicheal dícheall
dimreóchadh d'imreodh
din-se déansa
dinneár dinnéar
diobhóidheach deabhóideach
dioghaise deoise
diomadh diomú
diombhádhach díomách
diombághach díomách
diomáisteach damáisteach
diongabhálta diongbháilte
dith-chéille díth céille
dith-múinte dímhúinte
dithceallach dícheallach
dithcéille díth céille
dithfre deifre
dithreabhach díthreabhach
dithreach díthreabhach
diultuigheach diúltach
diúlttha diúltaithe
dlaoi-chuachach dlaoichuachach
dlathach dlaoitheach
dligthe dlite
dlisdionach dlisteanach
dlisteannach dlisteanach
dlistineach dlisteanach
dlistinneach dlisteanach
dlistionach dlisteanach
dluth dlúth
dlíghthe dlíthe
dlúith-dhreach dlúthdhreach
do-airmhighthe do-áirithe
do-aithnighthe do-aitheanta
do-bheireadh thabharfadh
do-bheirim-se tugaimse
do-bheirtear tugtar
do-bheirthear tugtar
do-bheurad-sa tabharfaidh mise
do-bheuradh thabharfadh
do-bhéarainn thabharfainn
do-bhéarfadh thabharfadh
do-bhéarfaidh tabharfaidh
do-bhéarfaidís thabharfaidís
do-bhéarfainn thabharfainn
do-bhéarfam-na tabharfaimidne
do-bhíodar bhíodar
do-chidhfeadh d'fheicfeadh
do-chidhfidh feicfidh
do-chidhfidís d'fheicfidís
do-chidhfá d'fheicfeá
do-chidhim feicim
do-chluinim-se cloisimse
do-choimsighthe dochuimsithe
do-chonnac chonaic mé
do-chonnacadh chonacthas
do-chonnacamar chonaiceamar
do-chonnacthas chonacthas
do-chonnaic chonaic
do-chonnaiceadar chonaiceadar
do-chonnaiceamair chonaiceamar
do-chonnairc chonaic
do-chonnarc chonaic mé
do-chuadas chuaigh mé
do-chuadhamair chuamar
do-chuadhas chuaigh mé
do-chuadhthas chuathas
do-chuaid chuaigh
do-chuala chuala
do-chualadar chualadar
do-chualaidh chuala
do-chualas chuala mé
do-chualathas chualathas
do-chuamair chuamar
do-chuamar chuamar
do-chuireadar chuireadar
do-chídhfeadh d'fheicfeadh
do-chídhfidh feicfidh
do-chídís d'fheicidís
do-chífear feicfear
do-chífeá d'fheicfeá
do-chífidís d'fheicfidís
do-chífinn d'fheicfinn
do-chífá d'fheicfeá
do-chím-se feicimse
do-chímís d'fheicimis
do-chíodh d'fheiceadh
do-chítear feictear
do-chítí d'fheictí
do-chóimhlíonta do-chomhlíonta
do-dheineadar rinneadar
do-dheunad-sa déanfaidh mise
do-dheunadh dhéanfadh
do-dheunadh-sa déanfaidh mise
do-dheunaidís dhéanfaidís
do-dheunfaidís dhéanfaidís
do-dheuntar déantar
do-dheuntaí dhéantaí
do-fhaicsionnach dofheicthe
do-fheicsithe dofheicthe
do-fhulangtha dofhulaingthe
do-gheabhadh gheobhadh
do-gheibheadh gheobhadh
do-gheibheann faigheann
do-gheibhidís d'fhaighidís
do-gheibhim faighim
do-gheibhinn gheobhainn
do-gheibhtar faightear
do-gheibhtear faightear
do-gheobha gheobhaidh
do-gheobhad-sa gheobhaidh mise
do-gheobhaidh gheobhaidh
do-gheobhaidís gheobhaidís
do-gheobhainn gheobhainn
do-gheobhainn-se gheobhainnse
do-gheobhair gheobhaidh tú
do-gheobhthar gheofar
do-gheobhthá gheofá
do-gheunainn dhéanfainn
do-gheuntar déantar
do-gheóbhainn gheobhainn
do-ghnidheadh dhéanadh
do-ghnidhim déanaim
do-ghníd déanann siad
do-ghnímid déanaimid
do-ghníodh dhéanadh
do-ghníthí dhéantaí
do-ghéan déanfaidh mé
do-ghéan-sa déanfaidh mise
do-ghéanadh dhéanfadh
do-ghéanaidís dhéanfaidís
do-ghéanainn dhéanfainn
do-ghéantar déantar
do-innsighthe do-inste
do-ionghabhála do-iongabhála
do-ionnsaightheach do-ionsaitheach
do-leighiste doleigheasta
do-righneadh rinneadh
do-righneamar rinneamar
do-rinne rinne
do-rinneadh rinneadh
do-rinneamar rinneamar
do-rónadh rinneadh
do-theicheadar theitheadar
do-thiubhradh thabharfadh
do-thuigseannach dothuisceanach
do-thuigsionach dothuisceanach
do-thígheasach dothíosach
do-áirmhthe do-áirithe
dobheir tugann
dobheuradh thabharfadh
dobheurthar tabharfar
dobhronach dobrónach
dobhtha dóibh
dobhuaidhte do-bhuaite
docamhlach dócúlach
dochonnaic chonaic
dochonnairc chonaic
dochonnarc chonaic mé
dochuadar chuadar
dochuadhas chuaigh mé
dochuaidh chuaigh
dochífear feicfear
dochútir dochtúir
docraideach dochraideach
doeaghlach do-eaglach
dogheibhthear faightear
dogheobhaidís gheobhaidís
dogheobhainn gheobhainn
dogheobhthá gheofá
dogheuna déanfaidh
dogheunadh dhéanadh
dogheunadh dhéanfadh
dogheóbha gheobhaidh
dogheóbhadh gheobhadh
dogheóbhair gheobhaidh tú
dogheóbhthar gheofar
dogheóbhthá gheofá
doghní déanann
doghnímid déanaimid
doghníodh dhéanadh
doghníthear déantar
doghéabhadh gheobhadh
doghéan-sa déanfaidh mise
doghéanadh dhéanfadh
doh dó
doi-leointe doleonta
doicheal doicheall
doichealach doicheallach
doidhealbhach dodhealbhach
doighte dóite
doilgheas doilíos
doilgheasach doilíosach
doilghiosach doilíosach
doilghéasach doilíosach
doilghíosach doilíosach
doilighearach doilíosach
doimhin-inntinneach domhainintinneach
doirtighthe doirte
doithigheasach dothíosach
doithígheasach dothíosach
dolásach dólásach
Domhnaig Domhnaigh
Domhnaill Dónaill
Domhnall Dónall
Doncha Donnchadh
donn-chneasach donnchneasach
donn-ingneach donningneach
donn-sgiathach donnsciathach
Donnachadh Donnchadh
Donncadh Donnchadh
donne doinne
dorighneadar rinneadar
dorighneadh rinneadh
dorighneamar rinneamar
dorinne rinne
dorinneadh rinneadh
dothighsach dothíosach
dotholacha doicheallacha
dothígheasach dothíosach
dothíghsach dothíosach
doímasach díomasach
drana drannadh
dranntadh drantú
draoidhachtach draíochtach
draoidheachtúil draíochtach
draoieachtúil draíochtach
draoigheachta draíochta
draoighneach draighneach
draoitheach draíochtach
draoithibh draoithe
draoíeachtúil draíochtach
dreóillín dreoilín
dreólach dearóil
driféaracha deirfiúracha
driothár deartháir
driothúr deirfiúr
dritheáir deartháir
dritháracha deartháireacha
dro droch
dro-ghnóthach drochghnóthach
