ana-thaithneamhach an-taitneamhach
ana-thaomanach an-taomach
ana-theasbúil an-teaspúil
ana-thrangalálta an-trangláilte
ana-thuisgeanach an-tuisceanach
ana-thúirt-amach an-tabhairt-amach
ana-órnáideach an-ornáideach
anadheighbhlasta an-dea-bhlasta
anairthe anraith
anamhaidheach ainmhithe
anbhaoghalach an-bhaolach
anchobhrach an-chabhrach
andhiú inniu
anfhaithe anfa
anfádhach anfach
anmanna anamacha
anmnacha anamacha
annrianta ainrianta
annróach anróiteach
annródhach anróiteach
annseir ionsar
annsud ansiúd
annta iontu
anntuirseach an-tuirseach
anntú iontu
anródhach anróiteach
ansgiamhach an-sciamhach
anshogh anó
Antiochus Aintíochas
Antipater Antapataer
Antoine Antaine
Antónius Antaine
aodhar aer
aodharach aerach
aodharacha aeracha
aodhre aoire
aoibhneach aoibhiúil
aoibhneasach aoibhinn
aoinfhilte innealta
aoiradh aoradh
aoird aird
aoirfad aorfaidh mé
aoirfad-sa aorfaidh mise
aoirthe aortha
aoltha aolta
aon-tumhadh aontumha
aonaig aonaigh
aondeug aon déag
aoráid aeráid
aoírde airde
aoírfadsa aorfaidh mise
aragóint argóint
arighim airím
arramhadh arú
aríste arís
asarach easrach
asbolóid aspalóid
asdoídhche istoíche
asta-san astusan
ataoi-se tá tusa
ataoí atá tú
atchífir feicfidh tú
ath-mhúsgluighthe athmhúscailte
athar-sa atharsa
atharach athrach
athasach áthasach
athchuinghim achainím
athchuiníghe achainí
athir athair
athluighthe altaithe
athlú altú
atháim-se táimse
atháimíd táimid
atháir-se tá tusa
atáimíd-ne táimidne
Aténeach Aithneach
audbhart-sa dúirt mise
Austráil Astráil
aílltreach aillte
bacaig bacaigh
bacalach bachallach
bacfainn bhacfainn
bachalach bachallach
bacóidéacha bacóideacha
baganta bagánta
baighte baoite
bailigidh bailígí
baill-bheatha baill bheatha
bailuighadh bailiú
baineam bainimis
bainfad bainfidh mé
bainfinn bhainfinn
bainid baineann siad
bainidh bainigí
baininscineach baininscneach
bainne-cíoch bainne cíche
baistighthe baiste
baistithe baiste
balaith boladh
balú balachtáil
baodhach buíoch
baoghalacnach baolach
baoghallach baolach
barr-thuisleach barrthuisleach
barrabruach broghach
bataráil batráil
bathas baithis
beag-altacha beagaltacha
beag-anmach beaganamach
beaghnach beagnach
beagánach beangánach
bean-an-tighe bean an tí
bean-riaghalta bean rialta
bean-uighthe beannaithe
beannadh beanna
beannuíthe beannaithe
beanuighthe beannaithe
beathúmhach beathach
beidhead-sa beidh mise
beidheadh bheadh
beidheam beimid
beidhfear beifear
beidhmid beimid
beidhmíd beimid
beidís bheidís
beidís mbeidís
beifeá bheifeá
beifeá mbeifeá
beifí bheifí
beir-se beirse
beirbhiugadh beiriú
beirean beireann
beirfidhe bhéarfaí
beirfidhe mbéarfaí
beirfidhmid béarfaimid
beirid beireann siad
beirig beirigí
beirtha beirthe
beirtí bheirtí
beitheadhach beithíoch
beitheá bheifeá
beithfidhe bheifí
beithidhig beithígh
beo-ghlórach beoghlórach
beodhach beoga
beortha beirthe
bertha bearrtha
bertha beirthe
beulra béarla
Beultaine Bealtaine
beuraidh tabharfaidh
beárnnach bearnach
beártha bearrtha
beárthnach bearnach
beó-ghlórach beoghlórach
beó-ghonta beoghonta
bfearr b'fhearr
bféidir b'fhéidir
bh'Frainnc bhFrainc
bh-faicfeadh bhfeicfeadh
bhacaig bhacaigh
bhailig bhailigh
bhaillet vallait
bhaineas-sa bhain mise
bhainfaimís bhainfimis
bhainfainn bhainfinn
bhainfinn-se bhainfinnse
bhainfá bhainfeá
bhainim-se bhainimse
bhaití bháití
bhanríghin bhanríon
bhanríoghan bhanríon
bhathas bhaithis
bhe bhé
bhe bhí
bheadhthá bheifeá
bheam bhím
bhean-riaghalta bhean rialta
bheannuig bheannaigh
bhearfadh bhéarfadh
bhearfainn thabharfainn
bheidheá bheifeá
bheidhfaí bheifí
bheidhfear bheifear
bheidhfeá bheifeá
bheidhfá bheifeá
bheidhinn-se bheinnse
bheidhthea bheifeá
bheidhthá bheifeá
bheirean bheireann
bheirfidhmid tabharfaimid
bheirfinn thabharfainn
bheirid beireann siad
bheirid bheireann siad
bheirm tugaim
bheirmid tugaimid
bheirmíd tugaimid
bheirídh tugaigí
bheit bheith
bheithfeá bheifeá
bheithfá bheifeá
bhest veist
bheulra bhéarla
bheárfainn thabharfainn
bheóibh bheo
bhfaghad-sa bhfaighidh mise
bhfaghaid bhfaighidís
bhfaghaim-se bhfaighimse
bhfaghair bhfaighidh tú
bhfaghbhadh bhfaigheadh
bhfaghthar bhfaightear
bhfaiceann bhfeiceann
bhfaicfeadh bhfeicfeadh
bhfaighfá bhfaighfeá
bhfaighid bhfaigheann siad
bhfaighinn-se bhfaighinnse
bhfaighmíd bhfaighimid
bhfaighmís bhfaighimis
bhfaision bhfaisean
bhfastodh bhfostú
bhfeaca-sa bhfaca-sa
bhfeacadar bhfacadar
bhfeacathas bhfacthas
bhfeadfadh bhféadfadh
bhfeadfaidhe bhféadfaí
bhfeadfainn bhféadfainn
bhfearaibh bhfir
bhfearr b'fhearr
bhfearr fhearr
bhfeiceam bhfeice muid
bhfeicean bhfeiceann
bhfeicfeá-sa bhfeicfeása
bhfeicfinn-se bhfeicfinnse
bhfeicinn-se bhfeicinnse
bhfeictá bhfeicteá
bhfeil bhfuil
bhfhada fhada
bhfhios bhfios
bhfhiú fiú
bhfhágh bhfaighe
bhficfidís bhfeicfidís
bhficfá bhfeicfeá
bhfocair bhfochair
bhfoghlumóchadh bhfoghlaimeodh
bhfollamhú bhfolmhú
bhFraingc Frainc
bhFraingcis Fraincis
bhfriothghoin bhfrithghoin
bhfriothghuin bhfrithghoin
bhfuaideóchadh bhfuadódh
bhfuasgalóchadh bhfuasclódh
bhfuigbheadh bhfaigheadh
bhfuigeadh bhfaigheadh
bhfuigfeadh bhfaigheadh
bhfuigfidh bhfaighidh
bhfuighbhe bhfaighidh
bhfuighbhidís bhfaighidís
bhfuighbhinn bhfaighinn
bhfuighfidís bhfaighidís
bhfuighfimid bhfaighimid
bhfuighfá bhfaighfeá
bhfuighmid bhfaighimid
bhfuighmís bhfaighimis
bhfuilean bhfuil
bhfuilingeóchadh bhfulaingeodh
bhfuilinnt bhfulaingt
bhfuilir-se bhfuil tusa
bhfuilmíd bhfuilimid
bhfuiltí-se bhfuil sibhse
bhfuisgeacht bhfoisceacht
bhfághaidh bhfaighidh
bhfághaidís bhfaighidís
bhfághtar bhfaightear
bhfáightí bhfaightí
bhféadainn-se bhféadfainnse
bhféadfainn-se bhféadfainnse
bhféadfinn bhféadfainn
bhféadhfadh bhféadfadh
bhfíor-Ghaedheal bhFíor-Ghaeil
bhfóghnaim bhfónaim
bhfógnóchadh bhfónfadh
bhias bheidh
bhinéigre fínéagar
bhiódh bhíodh
bhlaoidh ghlaoigh
bho bhó
bhraithfá bhraithfeá
bhramaichín bhromaichín
bhrataibh brait
bhrathadar bhraitheadar
Bhreathneach Breatnach
bhreithnighim-se breithnímse
bhreághaichte bhreátha
bhreóidh breoigh
bhricfasta bhricfeasta
Bhrighid Bhríd
bhriocfasta bhricfeasta
bhrisean bhriseann
bhrothalach bhrothallach
bhruidhin bhruíon
bhruinneal bhruinneall
bhráithribh bráithre
bhréagfainn-se bhréagfainnse
bhréithir bhriathair
bhréithribh bhriathra
bhrúghadar bhrúdar
bhrúghaidh bhrúigh
bhrúghdar bhrúdar
bhrúghfadh bhrúfadh
bhrúghmair bhrúmar
bhrúidhfead bhrúfaidh mé
bhrúth bhrú
bhuadhadar bhuadar
bhuadhairt bhuairt
bhuadhamair bhuamar
bhuaibh-se bha
bhuailean bhuaileann
bhuaileas-sa bhuail mise
bhuailfainn bhuailfinn
bhuailfá bhuailfeá
bhuinfinn bhainfinn
bhumaite nóiméad
bhái banríon
bhán-chnuic bhánchnoic
bhárr-sa bharrsa
Bhéaltaine Bealtaine
bhéarad tabharfaidh mé
bhéaraimís thabharfaimis
bhéarainnse thabharfainnse
bhéarfad-sa tabharfaidh mise
bhéarfadsa tabharfaidh mise
bhéarfainn-se thabharfainnse
bhéarfamaid tabharfaimid
bhéarfamaoid thabharfaimid
bhéarfhaidh tabharfaidh
bhéarfhainn-se thabharfainnse
bhéarfidís thabharfaidís
bhéarfinn thabharfainn
bhéartha thabharfá
bhéidhinn-se bheinnse
bhéidhtheá bheifeá
bhéimis-ne bheimisne
bhéinn-se bheinnse
bhéirfeadh thabharfadh
bhéirfidh tabharfaidh
bhéitheá bheifeá
bhéo bheo
bhéurfadh thabharfadh
bhídheadar bhíodar
bhídheadh bhíodh
bhídhinn bhínn
bhídhtheas bhíothas
bhídhtí bhítí
bhímuid bhíomar
bhímíd bhímid
bhímís bhímis
bhíobhair bhí sibh
bhíod bhíodh
bhíodar-san bhí siadsan
bhíodar-san bhíodarsan
bhíoi-mair bhíomar
bhíomair-ne bhíomarna
bhíomar-na bhíomarna
bhíomar-ne bhíomarna
bhíomuis bhímis
bhír bhíonn tú
Bhítheá-sa Bhíteása
Bhíthá Bhíteá
bhóithribh bhóithre
bhómainte nóiméad
bhórdaibh bhoird
bhúntáiste bhuntáiste
biad beidh mé
biadhtha bianna
biadsa beidh mise
bidhim bím
binn-fhoclach binnfhoclach
binn-ghlórach binnghlórach
binn-ghlóracha binnghlóracha
binn-ghothach binnghuthach
binn-ghuthach binnghuthach
binn-gothach binnghuthach
binnbhriatharacha binnbhriathracha
bior-fhaobhrach biorfhaobhrach
biorlach breallach
biorrughadh biorú
biorruighthe bioraithe
biotáile biotáille
bisneach misneach
bithúnach bithiúnach
blaise blaiseadh
blaisighthe blaistithe
blaodhach glaoch
blaoidhte glaoite
blaoisgín blaoiscín
blath boladh
blatha bláthanna
Bleá Baile Átha
bliadhnta blianta
bliaghain bliain
bliaghanta blianta
blianna bliana
bléantracha bléinte
bo bó
bochte boichte
bodhar-chlaoidhte bodharchloíte
bogaighthe bogaigh
bogchroiceanach bogchraicneach
boghadh bogadh
boghadh bogha
boghsíní boghaisíní
boighte baoite
boill baill
boirb-theinte borbthinte
bolath boladh
bolatha boladh
bonntáisteach buntáisteach
borbraithe borba
bpairliméid bparlaimint
bparróiste bparóiste
bplanoid bpláinéad
bpríomh-eagar príomheagar
bprísún bpríosún
bpáirliméid bparlaimint
bpósfidís bpósfaidís
braidhnse brainse
braidhnsí brainsí
braithlínte braillíní
bramaichín bromaichín
brat-pósta brat pósta
brathach brách
brathta brataithe
breac-luirg-neach breacloirgneach
breagha breátha
breallsúnta breallánta
breatha breá
breathnuighmís breathnaímis
breathnuigidh breathnaígí
breithnig breithnigh
breághacht breáthacht
breághaichte breátha
breághaichte breáthacht
bricfasta bricfeasta
bricfosta bricfeasta
Brighid Bríd
briocfasta bricfeasta
brionglóidigh brionglóideach
brisean briseann
brisfidhe bhrisfí
brisfí bhrisfí
brisid briseann siad
broithigh bruith
brollaigh-dúbalta débhrollaigh
brostuig brostaigh
brostuighidh brostaígí
brothalach brothallach
brothalacha brothallacha
bruchtadh brúchtadh
bruic broic
bruighneach bruíonach
bruinneal bruinneall
bráithribh bráithre
bréagóir bréagadóir
bréithribh briathra
bríghdeach brídeach
bríghe brí
bríghthe bríonna
bríomharach bríomhar
brúghfaimíd brúfaimid
brúghfam brúfaimid
brúghthar brúitear
brúighthe brúite
brúth brú
brúthfar brúfar
buachaillidh buachaillí
buadh-bhriathrach buabhriathrach
buadh-fhoclach buafhoclach
buadhairt buairt
buadhann buann
buadhfadh bhuafadh
buadhfaí bhuafaí
buadhtha buanna
buadhthach buach
buaidhfam buafaimid
buailean buaileann
buailfad buailfidh mé
buailfhe buailfidh
buailfidís bhuailfidís
buailid buaileann siad
buailthe buailte
buaireadh's buaireamh
buallfad buailfidh mé
buallfar buailfear
buallfidh buailfidh
buan-chráidhte buanchráite
buan-chubhracha buanchúracha
buan-gháibhtheacha buangháifeacha
buan-raobtha buanréabtha
buan-saoghalach buansaolach
buan-seasmach buanseasmhach
buan-smuainte buansmaointe
buan-t-seasmhach buanseasmhach
buan-tseasamhach buanseasmhach
buan-tseasmhach buanseasmhach
buannach buannúil
buantseasmhach buanseasmhach
bugadh bogadh
buideal buidéal
buidhe-chroiceannach buíchraicneach
buidhe-ghnéitheach buíghnéitheach
buidhe-ruadh buírua
buidhe-ómrach buí-ómrach
buidhiú buíochan
buidhne buíne
buidhnibh buíonta
buighdeach bídeach
buileach baileach
buill baill
buillsgeanta boilsceannach
buintear baintear
buirthe búirthé
bulta bolta
bumaite nóiméad
bun-ós-cionn bunoscionn
buna-bhriste bunbhriste
buna-chaite bunchaite
bunúdhsacha bunúsacha
buídhchas buíochas
buídhe buí
buídheach buíoch
báicottálta baghcatáilte
Báideineach Báideanach
báidheamhla báúla
báinte bánta
báistíghe báistí
bán-fholtach bánfholtach
bán-fhéasógach bánfhéasógach
bán-ghnéathach bánghnéitheach
bán-ghnéthach bánghnéitheach
bárr-oscailte barroscailte
báthfaí bháfaí
béal-fhosgailte béaloscailte
Béaltaine Bealtaine
béam beimid
béarar béarfar
béarfadh bhéarfadh
béarfimíd béarfaimid
béiciughadh béicíl
béidhead beidh mé
béidhfar beifear
béidhfí bheifí
béidhimidh beimid
béidhmid beimid
béidhmuid beimid
béidhmíd beimid
béidís mbeidís
béinn bheinn
béitheach beithíoch
béithear beifear
béo beo
bíadsa beidh mise
bíaganach bíoganach
bídheann bíonn
bídhidh-se bígíse
bídhim bím
bídhí bígí
bímís bímis
bímís-na bímisne
bímíst bímis
bíodar bhíodar
bíognach bíoganach
bíomair-ne bhíomarna
bíomar bhíomar
bóithribh bóithre
bóthaireóireacht bóithreoireacht
búntáiste buntáiste
búrlailte burláilte
cabhalach cabhlach
cabharach cabhrach
cabhartach cabhrach
cabhra cabhrach
caereach caorach
caidiráil cadráil
caifimíd caithfimid
caillean cailleann
caillfí chaillfí
caillthe caillte
caim-ingneach camingneach
caimiléaraidhthe caimiléirí
caiplibh capaill
Caisdeach Caisideach
caismeartha caismirte
cait-fead caithfidh mé
caitfidh caithfidh
caitfimíd caithfimid
caith-se caithse
caithbhéimneach cathbhéimneach
caithean caitheann
caitheann-san caitheannsan
caithfad caithfidh mé
caithfad-sa caithfidh mise
caithfadh chaithfeadh
caithfam caithfimid
caithfhear caithfear
caithfhidh caithfidh
caithfidhear caithfear
caithfimíd-na caithfimidne
caithfimíd-ne caithfimidne
caithfimís caithimis
caithfinn chaithfinn
caithfirse caithfidh tusa
caithidh caithigí
caithim-se caithimse
caithin cathain
caithmíd caithimid
caitilicidhthe caitlicigh
caitilicidhthibh caitlicigh
caitliocach caitliceach
caitliocaigh caitlicigh
caitliocaighibh caitlicigh
caitte caite
caitthe caite
cam-ingneach camingneach
cam-intinneach camintinneach
camánaidhthe camánaithe
canamhainte canúna
canamhuin canúint
cangcarach cancrach
cangcrach cancrach
caoch-shúileach caochshúileach
caoil-each caoleach
caoin-bhriathardhach caoinbhriathrach
caoin-bhéalach caoinbhéalach
caoin-béasach caoinbhéasach
caoin-chainnteach caoinchainteach
caoin-chneasta caoinchneasta
caoin-ghothach caoinghuthach
caoin-téadach caointéadach
caoineam caoinimis
caoir-fheola caoireola
caol-iosgadach caolioscadach
caonadh caoineadh
caoíre caoirigh
captaein captaen
caraigreach carraigeacha
carantach carthanach
Carmelíteach Cairmilíteach
carraeste carráiste
Carthagineach Cartagach
Carthagíneach Cartagach
carttha cartha
caráiste carráiste
caráistiúil coráistiúil
casbháil casadh
casfaidhe chasfaí
casfaoi chasfaí
casfaí chasfaí
castí chastaí
cath-bhuadhach cathbhuach
cath-bhuilleach cathbhuilleach
cath-lúireach cathlúireach
cathbhua-dhacha cathbhuacha
cathbhuil-leach cathbhuilleach
cathfam caithfimid
catoilceach caitliceach
ceaca cé acu
ceadóchadh cheadódh
ceangailthe ceangailte
ceangalaid ceanglaíonn siad
ceangalaidh ceanglaígí
ceangalófar ceanglófar
ceangarú cangarú
ceanglaid ceanglaíonn siad
ceann-fé ceann faoi
ceann-lomnochttha ceann-lomnocht
ceann-nochtaighthe ceann-nochta
ceann-so ceann seo
ceannfaoi ceann faoi
ceannfé ceann faoi
ceannidhe ceannaí
ceanntaraibh ceantair
ceannuighimse ceannaímse
ceannócha ceannóidh
ceannóchadh cheannódh
ceannóghaidh ceannóidh
ceanóchadsa ceannóidh mise
ceapaid ceapann siad
ceapan ceapann
ceapfaí cheapfaí
ceapfá cheapfá
ceaptaí cheaptaí
ceart-sheasamhacha ceartseasmhacha
ceartuighse ceartaighse
ceasnathach ceasnúil
ceathair-bheannach ceathairbheannach
ceathair-chiumhaiseach ceathairchiumhaiseach
ceathairdéag ceathair déag
ceathar-chosach ceathairchosach
ceathar-chuinneach ceathairchúinneach
ceathar-uileannach ceathairuilleach
