Abrán Aibreán
ailbhín eilbhín
aile eile
aileastar feileastram
aileimbic ailimic
aileá aithleá
ailiam ailím
ailimín alúmana
ailimín alúmanam
ailinín aimicín
aillis ailse
aillteacha aillte
ailltreacha aillte
ailp earc
ailpeacha ailpeanna
ailpreacha ailpeanna
ailpéir alpaire
ailse gailseach
ailseach allasúil
ailseach gailseach
ailsiúil allasúil
aimhdheoin ainneoin
aimhdheonach ainneonach
aimhfheoil ainfheoil
aimhghliocas aimhghliceas
aimhlis aimhleasa
aimhreas amhras
aimhreasach amhrasach
aimhriaghalta aimhrialta
aimhriaghaltacht aimhrialtacht
aimhriartha aimhriarach
aimhriata ainriata
aimhriocht ainriocht
aimhréidheach aimhréidh
aimhréidheas aimhréidh
aimhréidhteach aimhréiteach
aimhréir aimhriar
aimhréiseach aimhréidh
aimhréiteach aimhréidh
aimhréití aimhréidh
aimhshrianta ainrianta
aimid amaid
aimideach amaideach
aimileog amlóg
aimilithe aimlithe
aimilte aimlithe
aimiléis aimléis
aimiléiseach aimléiseach
aimleadh aimliú
aimlí aimlithe
aimseach aimsiú
aimseachadh aimsiú
aimseacht aimsiú
aimsear aimsir
ainbhfeoil ainfheoil
ainbhfial ainfhial
ainbhfios ainbhios
ainbhfiosach ainbhiosach
ainbhfiosachán ainbhiosán
ainbhfiosán ainbhiosán
ainbhfíor ainfhírinne
ainbhfíréan ainfhíréan
ainbhiosachán ainbhiosán
ainbhliach ainbhleitheach
ainbhreath ainbhreith
ainbhreathach ainbhreitheach
ainbhthe anfa
ainbhtheanach anfach
ainbhthine anfa
ainchleachtach ainchleachta
ainciall aingiall
aincí aingí
aindearbh éidearfa
aindeis ainnis
aindeise ainnise
aindeoin ainneoin
aindeonach ainneonach
aindiadha aindiaga
aindiadhacht aindiagacht
aindiagaí aindiachaí
aindiúide aindiúid
aindlighe aindlí
aindlítheach aindleathach
aineamh ainimh
aineamhach ainimheach
aineolgach aineolach
aineolgaiseach aineolach
ainfe anfa
ainfine anfa
aingceis aincis
aingceiseach ainciseach
aingciallda aingiallta
aingcis aincis
aingciseach ainciseach
aingealdha ainglí
aingle aingil
aingíoch aingí
ainiúil aineoil
ainleog ainle
ainleoir ainle
ainligh innill
ainme ainm
ainmheach ainimheach
ainmiúil ainmniúil
ainmneach ainmniúil
ainnear ainnir
ainniseach ainnis
ainniseacht ainnise
ainnisíocht ainnise
ainreacht ainriocht
ainrianach ainrianaí
ainriar aimhriar
ainriarach aimhriarach
ainriochtaí ainriochtán
ainscianúila2 ainscianta
ainsciath ainscian
ainscéan ainscian
ainscéanta ainscianta
ainscéantacht ainsciantacht
ainsheascair aineascair
ainsheascaireacht aineascaireacht
ainshrianta ainrianta
ainshriantacht ainriantacht
ainéadaithe ainéidithe
aipche aibíocht
aipigh aibigh
aipí aibí
airbhire oirbhire
airc earc
airceadal aircheadal
airceadal airteagal
airceas airc
airceasach airceach
aircheadal foirceadal
airchis araicis
aircis araicis
airde arda
airdeacht airde
airdhe airí
airdhearc airdhirc
airdhirc oirirc
airdigh ardaigh
airdiúil airdeallach
airdiúlacht airdeall
airdrí ardrí
airdrígh ardrí
aireachas oireachas
aireacht oireacht
aireachtaint aireachtáil
aireachtas oireachtas
aireachán aireachas
aireamhain airimh
aireamhan aireamh
aireamhan airimh
airear oirear
airg aireagán
airg arg
airgeadaí airgid
airghe áirí
airgheach airíoch
airgtheach argthóir
airgtheoir argthóir
airichill oirchill
airicis araicis
airicín hairicín
airidheacht araíocht
airis oiris
airiseamh oiriseamh
airitheach aireach
airiú arú
airleach eirleach
airleagadh airleacan
airlimint oirnimint
airmhidin oirmhidin
airmhidneach oirmhinneach
airneál airneán
airneálach airneánach
airneálaí airneánach
airneánaí airneánach
airnimint oirnimint
airrcis araicis
airthinneach aithrinneach
airtéire artaire
airíocht araíocht
ais aisling
aiseal asal
aisfhreagairt aisfhreagra
aisfhreagar aisfhreagra
aisle aisling
aislingtheach aislingeach
aislingíocht aislingeacht
aisléine taisléine
aisnéidh faisnéis
aisnéis faisnéis
aiste haiste
aisteacht aisteachas
aistearach aistreach
aistir aistear
aistire aistir
aistiúil aisteach
aistiúlacht aisteachas
aistreoir aistire
aistíl aisteachas
aistíoch aisteach
aistíocht aisteachas
aiséadach taiséadach
aitchim aitim
aithbhe aife
aithbhear aifir
aithbhir aifir
aithchim aitim
aithe aife
aitheach fathach
aitheadh athadh
aitheantúil aitheanta
aithearrach athrach
aithghearr aicearrach
aithghiorra aicearra
aithghiorrach aicearrach
aithghiorracht aicearracht
